question_id,question,option_a,option_b,option_c,option_d,option_e,correct_option,explanation,pitfall
BIO_005,生体膜（細胞膜）の流動性を低下させる要因はどれか（コレステロールの影響を除く）。,不飽和脂肪酸の割合が増加する。,脂肪酸鎖（尾部）が短くなる。,温度が上昇する。,飽和脂肪酸の割合が増加する。,リン脂質の二重層構造が消失する。,d,飽和脂肪酸は直鎖状で密にパッキングされやすいため、膜の流動性を低下させ硬くする。不飽和脂肪酸（二重結合あり）は折れ曲がりがあり隙間ができるため流動性を高める。,「不飽和＝サラサラ（流動性高）」のイメージを持つと分かりやすい。
BIO_006,減数分裂の第一分裂前期に起こる特徴的な現象はどれか。,DNAの複製。,相同染色体の対合と乗換え（交叉）。,姉妹染色分体の分離。,核膜の再生。,中心体の消失。,b,減数分裂第一分裂前期には、相同染色体が対合して二価染色体を形成し、交叉（乗換え）による遺伝子の組換えが起こる。,姉妹染色分体の分離は第二分裂後期（または体細胞分裂後期）。DNA複製は分裂期前のS期で完了している。
BIO_007,概日リズム（サーカディアンリズム）の中枢として哺乳類で機能している脳領域はどこか。,松果体,視交叉上核,海馬,下垂体前葉,小脳,b,視床下部にある視交叉上核（SCN）が概日リズムのマスタークロック（中枢）である。,松果体はSCNの指令を受けてメラトニンを分泌するが、リズム形成の中枢そのものはSCNである。
BIO_008,アポトーシス（プログラム細胞死）の特徴として誤っているのはどれか。,細胞の縮小。,クロマチンの凝縮。,DNAの断片化。,炎症反応の誘発。,アポトーシス小体の形成。,d,アポトーシスは周囲に炎症を引き起こさずに静かに死ぬ（マクロファージ等に貪食される）。炎症を伴うのは壊死（ネクローシス）の特徴である。,「きれいに死ぬ」のがアポトーシス、「破裂して迷惑をかける」のがネクローシスという対比が重要。
LSC_001,真核生物のmRNAプロセシング（転写後修飾）に含まれないプロセスはどれか。,5'末端へのキャップ構造付加,3'末端へのポリA尾部付加,イントロンの除去（スプライシング）,エキソンの連結,リボソームによる翻訳開始,e,真核生物のmRNA前駆体は、核内でキャッピング、ポリアデニル化、スプライシングを受けて成熟mRNAとなる。翻訳は核外（細胞質）で行われるプロセスであり、転写後修飾の一部ではない。,「翻訳」は修飾ではなく次の段階（タンパク質合成）である。場所も核内と細胞質で異なる。
LSC_002,Gタンパク質共役型受容体（GPCR）シグナル伝達経路において、アデニル酸シクラーゼを活性化した際に細胞内濃度が上昇するセカンドメッセンジャーはどれか。,cAMP（環状AMP）,cGMP（環状GMP）,IP3（イノシトール三リン酸）,DAG（ジアシルグリセロール）,Ca2+,a,Gsタンパク質が活性化されるとアデニル酸シクラーゼが活性化し、ATPからcAMPが合成される。cAMPはプロテインキナーゼA（PKA）を活性化する。,Gqタンパク質経路（PLC活性化→IP3/DAG生成→Ca2+上昇）と混同しやすい。GsはcAMP経路である。
LSC_003,細胞周期において、DNA損傷がある場合に細胞分裂を停止させる「チェックポイント」が主に機能する時期はどれか。,G1期からS期への移行時,S期の中間,G2期からM期への移行時,M期（分裂期）の後期,G1期およびG2期,e,主なチェックポイントはG1/Sチェックポイント（DNA損傷の確認）とG2/Mチェックポイント（複製完了と損傷の確認）、M期チェックポイント（紡錘体形成の確認）である。特にG1とG2での損傷チェックが重要。,「S期」そのものではなく、その前後でチェックが入る。
LSC_004,解糖系における不可逆反応（律速段階）を触媒する酵素はどれか。,ヘキソキナーゼ,ホスホグルコースイソメラーゼ,アルドラーゼ,グリセルアルデヒド-3-リン酸デヒドロゲナーゼ,乳酸デヒドロゲナーゼ,a,解糖系には3つの不可逆反応があり、ヘキソキナーゼ、ホスホフルクトキナーゼ（PFK-1）、ピルビン酸キナーゼが触媒する。,可逆反応を触媒する酵素（イソメラーゼなど）を選ばないように注意。
LSC_005,ミトコンドリアの電子伝達系において、最終電子受容体として機能する物質はどれか。,NAD+,FAD,ユビキノン,シトクロムc,酸素（O2）,e,電子伝達系の最終段階（複合体IV）で、電子は酸素に渡され、プロトンと結合して水（H2O）が生成される。,ATP合成酵素（複合体V）は電子受容体ではない。電子の流れのゴールは酸素である。
LSC_006,Na+-K+ポンプ（Na+-K+ ATPase）の動作について正しい記述はどれか。,ATPを加水分解し、3個のNa+を細胞外へ、2個のK+を細胞内へ輸送する。,ATPを加水分解し、2個のNa+を細胞外へ、3個のK+を細胞内へ輸送する。,濃度勾配に従ってNa+とK+を輸送する。,ATPを合成しながらイオンを輸送する。,Na+のみを能動輸送する。,a,Na+-K+ポンプはATPのエネルギーを用いて、濃度勾配に逆らって3Na+を出して2K+を入れる（一次能動輸送）。これにより細胞内は負に帯電し、低Na+・高K+状態が保たれる。,出す数（3個）と入れる数（2個）およびイオンの種類を逆に覚えないように。「3ナ(Na)・2カ(K)」などの語呂合わせが有効。
LSC_007,細胞間結合において、隣接する細胞の細胞質をつなぎ、イオンや低分子物質の通過を可能にする結合はどれか。,密着結合（Tight junction）,接着結合（Adherens junction）,デスモソーム（Desmosome）,ギャップ結合（Gap junction）,ヘミデスモソーム（Hemidesmosome）,d,ギャップ結合はコネキソンというタンパク質複合体で形成されたチャネルで隣接細胞をつなぎ、電気的信号や低分子の移動を可能にする（心筋の同期収縮などに重要）。,密着結合（シール機能）、デスモソーム（強力な接着）との機能の違いを明確にする。
LSC_008,アポトーシス（プログラム細胞死）のシグナル伝達において中心的な役割を果たすタンパク質分解酵素群はどれか。,カスパーゼ,キナーゼ,ホスファターゼ,リパーゼ,ヌクレアーゼ,a,アポトーシスシグナルが入ると、イニリエーターカスパーゼが活性化され、さらにエフェクターカスパーゼが活性化されて細胞骨格やDNAを分解する。,名前が似ているカルパイン（Ca依存性プロテアーゼ）などと混同しないこと。
LSC_009,タンパク質の細胞内輸送において、分泌タンパク質が合成される場所と最初の輸送先として正しいのはどれか。,遊離リボソーム → 核,遊離リボソーム → ミトコンドリア,粗面小胞体上のリボソーム → 小胞体内腔,滑面小胞体 → ゴルジ体,ゴルジ体 → リソソーム,c,分泌タンパク質や膜タンパク質は、シグナル配列を持ち、粗面小胞体（RER）上のリボソームで合成されながら小胞体内腔へ輸送される。,細胞質で働くタンパク質（遊離リボソーム合成）との区別が重要。
LSC_010,免疫グロブリン（抗体）を産生・分泌する細胞に分化するのはどれか。,ヘルパーT細胞,キラーT細胞（細胞傷害性T細胞）,B細胞,マクロファージ,樹状細胞,c,B細胞は抗原刺激を受けると形質細胞（プラズマ細胞）に分化し、抗体を大量に産生・分泌する。,T細胞は抗体を産生しない。ヘルパーT細胞はB細胞の活性化を助ける役割を持つ。
LSC_011,神経活動電位の発生（脱分極相）に主に関与するイオンチャネルとイオンの動きはどれか。,電位依存性Na+チャネルによるNa+の流入,電位依存性K+チャネルによるK+の流出,電位依存性Ca2+チャネルによるCa2+の流入,漏洩K+チャネルによるK+の流出,Cl-チャネルによるCl-の流入,a,静止膜電位からの脱分極（立ち上がり）は、電位依存性Na+チャネルの開口による急激なNa+流入によって引き起こされる。,再分極相（K+流出）や過分極相と混同しないこと。
LSC_012,ステロイドホルモンの受容体が存在する主な場所はどこか。,細胞膜表面,細胞質または核内,ミトコンドリア内膜,ゴルジ体,リソソーム,b,ステロイドホルモンは脂溶性であり細胞膜を通過できるため、受容体は細胞内（細胞質や核）に存在し、転写因子として機能することが多い。,ペプチドホルモン（インスリンなど）の受容体は細胞膜上にある。ホルモンの性質（水溶性か脂溶性か）で判断する。
LSC_013,PCR（ポリメラーゼ連鎖反応）に必要な試薬に含まれないものはどれか。,鋳型DNA,プライマー（DNA断片）,耐熱性DNAポリメラーゼ,dNTPs（デオキシヌクレオシド三リン酸）,RNAポリメラーゼ,e,PCRはDNAを増幅する反応であり、DNAポリメラーゼを用いる。RNAポリメラーゼ（転写酵素）は不要。,生体内のDNA複製にはプライマーゼ（RNA合成酵素）が必要だが、PCRでは人工合成したDNAプライマーを用いるためRNA酵素は不要。
LSC_014,エピジェネティクスな遺伝子発現制御のメカニズムとして正しいのはどれか。,DNA塩基配列の変異,DNAのメチル化による転写抑制,ヒストンのアセチル化による転写抑制,リボソームの変性,tRNAの分解,b,エピジェネティクスは塩基配列の変化を伴わない制御。DNAメチル化（主にCpGアイランド）はクロマチン構造を凝縮させ、転写を抑制する。ヒストンアセチル化は逆に転写を活性化する。,「メチル化＝抑制」「アセチル化＝活性化」という一般的な傾向を逆に覚えないように注意。
LSC_015,幹細胞のうち、胎盤を含むすべての組織に分化できる能力（全能性）を持つのはどれか。,受精卵,胚性幹細胞（ES細胞）,人工多能性幹細胞（iPS細胞）,造血幹細胞,間葉系幹細胞,a,受精卵（および初期の分割卵）のみが胎盤などの胚体外組織を含む完全な個体を形成できる全能性（Totipotency）を持つ。ES/iPS細胞は多能性（Pluripotency：胎盤以外なら何でもなれる）である。,全能性と多能性の定義の違い（胎盤を作れるかどうか）がポイント。
LSC_016,インスリンが結合する受容体の種類はどれか。,Gタンパク質共役型受容体,チロシンキナーゼ型受容体,イオンチャネル型受容体,核内受容体,細胞接着因子,b,インスリン受容体は自身の細胞内ドメインにチロシンキナーゼ活性を持ち、リガンド結合により自己リン酸化してシグナルを伝達する。,グルカゴン受容体はGPCRであるため対比して覚えること。
LSC_017,細胞膜にあるリン脂質、ホスファチジルイノシトール4,5-二リン酸（PIP2）を分解して、IP3とDAGを産生する酵素はどれか。,アデニル酸シクラーゼ,ホスホリパーゼC (PLC),プロテインキナーゼC (PKC),ホスホリパーゼA2,ホスホジエステラーゼ,b,ホスホリパーゼC（PLC）はPIP2を加水分解してセカンドメッセンジャーであるIP3（Ca2+放出）とDAG（PKC活性化）を生じる。,PKCは産生されたDAGによって活性化される「キナーゼ」であり、分解酵素ではない。
LSC_018,コラーゲンの生合成において、プロリン残基の水酸化に必要なビタミンはどれか。,ビタミンA,ビタミンB1,ビタミンC（アスコルビン酸）,ビタミンD,ビタミンE,c,コラーゲンの三重らせん構造の安定化にはヒドロキシプロリンが必要であり、その生成（プロリン水酸化酵素の補因子）にビタミンCが必須である。欠乏すると壊血病になる。,骨に関係するからビタミンD、と短絡的に結びつけないこと。コラーゲン線維そのものの形成にはCが必要。
ANA_001,重層扁平上皮が観察される部位として正しいのはどれか。,胃粘膜,小腸粘膜,食道粘膜,気管粘膜,膀胱粘膜,c,食道は物理的な刺激（食物の通過）を受けるため、保護機能に優れた重層扁平上皮で覆われている。皮膚（表皮）も同様。,胃や腸は吸収・分泌を行う単層円柱上皮、気管は多列線毛上皮、膀胱は移行上皮である。機能と形態を結びつける。
ANA_002,大腿四頭筋の支配神経はどれか。,坐骨神経,閉鎖神経,大腿神経,脛骨神経,総腓骨神経,c,大腿前面の筋群（大腿四頭筋、縫工筋など）は腰神経叢由来の大腿神経に支配される。,大腿後面のハムストリングスは坐骨神経支配。内転筋群は閉鎖神経支配。部位による支配神経の区分けを整理する。
ANA_003,心臓の刺激伝導系において、洞房結節（ペースメーカー）からの興奮が次に伝わる部位はどれか。,プルキンエ線維,房室結節（田原結節）,ヒス束,右脚・左脚,心室筋,b,正常な伝導順序は：洞房結節 → 心房筋 → 房室結節 → ヒス束 → 右脚・左脚 → プルキンエ線維 → 心室筋 である。,洞房結節からいきなりヒス束には行かない。心房と心室の電気的連絡は房室結節・ヒス束のみで行われる（重要）。
ANA_004,肝臓の組織構造において、門脈域（グリソン鞘）に含まれる「三つ組」の構成要素でないものはどれか。,小葉間動脈,小葉間静脈（門脈枝）,小葉間胆管,中心静脈,リンパ管,d,中心静脈は肝小葉の「中央」に位置し、血液を肝静脈へ送り出す出口である。門脈域（三つ組）は小葉の「角」にあり、入口（動脈・門脈）と胆汁の出口（胆管）が走る。,「静脈」という言葉だけで門脈枝と中心静脈を混同しないように。位置関係が逆である。
ANA_005,腎臓のネフロンにおいて、グルコースやアミノ酸が主に再吸収される部位はどこか。,糸球体,近位尿細管,ヘンレのループ,遠位尿細管,集合管,b,栄養素（グルコース、アミノ酸）のほぼ100%は近位尿細管で再吸収される。Na+の能動輸送に伴う共輸送（SGLTなど）による。,遠位尿細管や集合管はホルモンによる水・電解質の微調整が主。栄養素の回収は最初（近位）で終わらせる。
ANA_006,脳神経のうち、眼球運動に関与しない神経はどれか。,動眼神経（CN III）,滑車神経（CN IV）,三叉神経（CN V）,外転神経（CN VI）,該当なし（全て関与する）,c,三叉神経は顔面の感覚と咀嚼筋の運動を支配する。眼球運動は動眼・滑車・外転の3つの神経が担う。,視神経（CN II）は「視覚」であり「運動」ではない点も注意だが、選択肢の三叉神経は明確に異なる。
ANA_007,ウィリス動脈輪（大脳動脈輪）を構成しない血管はどれか。,前大脳動脈,中大脳動脈,後大脳動脈,前交通動脈,後交通動脈,b,中大脳動脈はウィリス動脈輪から分岐して外側へ伸びる血管であり、動脈輪（閉じた回路）そのものの構成要素には含めないことが多い（解剖学的定義によるが、試験では除外される代表格）。内頸動脈は含まれる。,「脳の血管だから全部輪っかに入っている」と思わないこと。中大脳動脈は輪から飛び出した枝である。
ANA_008,肺の構造について、ガス交換が行われる最小単位（機能的単位）はどれか。,気管支,細気管支,終末細気管支,呼吸細気管支,肺胞,e,ガス交換は肺胞の薄い上皮（血液空気関門）を介して行われる。呼吸細気管支も一部ガス交換能を持つが、主役かつ最小単位は肺胞である。,気道の分岐において、ガス交換が可能になるのは「呼吸細気管支」以降である点も重要。
ANA_009,胃底腺の壁細胞（傍細胞）が分泌する物質はどれか。,ペプシノゲン,塩酸（胃酸）と内因子,粘液,ガストリン,セクレチン,b,壁細胞は胃酸（殺菌・消化補助）と内因子（ビタミンB12吸収に必須）を分泌する。ペプシノゲンは主細胞から分泌される。,G細胞（ガストリン）や主細胞との分泌物の違いは頻出。
ANA_010,精子の形成過程において、減数分裂が完了して半数体（n）となる段階はどれか。,精祖細胞,一次精母細胞,二次精母細胞,精子細胞,精子,d,一次精母細胞（2n）が第一減数分裂を経て二次精母細胞（n, 二分染色体）になり、第二減数分裂を経て精子細胞（n, 一分染色体）となる。精子細胞が変形して精子になる。,二次精母細胞もnだが、減数分裂の全工程完了（染色分体の分離）直後という意味では精子細胞が適切。また二次精母細胞は期間が短く観察されにくい。
ANA_011,上腕骨骨折において、下垂手（wrist drop）の症状が出た場合に損傷が疑われる神経はどれか。,正中神経,尺骨神経,橈骨神経,筋皮神経,腋窩神経,c,橈骨神経は上腕骨の後面（橈骨神経溝）を走行し、手首や指の伸筋群を支配する。損傷すると手首を反らせなくなり下垂手となる。,正中神経麻痺（猿手）、尺骨神経麻痺（鷲手）との症状の対比（ジャンケン：パーができない＝橈骨、グーができない＝正中、チョキができない＝尺骨に近似）で覚える。
ANA_012,副腎髄質から分泌されるホルモンはどれか。,アルドステロン,コルチゾール,アンドロゲン,アドレナリン（エピネフリン）,ACTH,d,副腎髄質は交感神経節に相当し、カテコールアミン（アドレナリン、ノルアドレナリン）を分泌する。皮質からはステロイドホルモン（アルドステロン、コルチゾール、アンドロゲン）が出る。,皮質と髄質の由来（中胚葉 vs 外胚葉）と分泌物の違い（ステロイド vs アミン）は必須知識。
ANA_013,脊髄の横断面において、運動ニューロンの細胞体が存在する部位はどこか。,後角,側角,前角,後索,側索,c,脊髄灰白質の「前角」には下位運動ニューロンの細胞体がある（Bell-Magendieの法則：前根は運動、後根は感覚）。,後角は感覚、側角は自律神経（交感神経）。索（白質）は伝導路であり細胞体ではない。
ANA_014,骨の成長（長軸方向への伸長）に関与する構造はどれか。,骨膜,骨端軟骨（骨端板）,緻密骨,海綿骨,骨髄,b,長管骨の長さの成長は、骨端軟骨（成長板）における軟骨の増殖と骨化（軟骨内骨化）によって起こる。,骨膜は太さの成長（付加成長）に関与する。
ANA_015,心臓弁のうち、2枚の弁尖からなるもの（僧帽弁）はどれか。,右房室弁,左房室弁,大動脈弁,肺動脈弁,静脈弁,b,左心房と左心室の間にある左房室弁は「僧帽弁」とも呼ばれ、唯一2枚の弁尖からなる（他は三尖弁）。,右房室弁（三尖弁）と混同しないこと。全身に送る左側の圧に耐えるため構造が特殊（紐付きの帽子＝僧帽に似ている）。
ANA_016,眼球の構造において、光を感じる視細胞（桿体・錐体）が存在する層はどれか。,角膜,強膜,脈絡膜,網膜,硝子体,d,網膜（Retina）は神経層であり、光受容器である視細胞が存在する。ここで光が電気信号に変換される。,脈絡膜は血管層で栄養供給、強膜は保護膜。機能局在を理解する。
ANA_017,消化管ホルモン「コレシストキニン（CCK）」の主な作用はどれか。,胃酸分泌の促進,胆嚢の収縮と膵酵素の分泌促進,血糖値の低下,食欲の増進,腸管運動の抑制,b,CCKは十二指腸に脂質が入ると分泌され、胆嚢を収縮させて胆汁を出させ、膵臓から消化酵素を出させる。,セクレチン（重炭酸イオン分泌促進・胃酸抑制）やガストリン（胃酸分泌促進）と区別する。
HIST_001,膀胱や尿管の粘膜上皮に見られる組織学的特徴として正しいのはどれか。,単層円柱上皮で、微絨毛が発達している。,重層扁平上皮で、表面が角化している。,多列線毛上皮で、杯細胞を含む。,移行上皮で、尿の充満度により細胞層の厚さが変化する。,単層立方上皮で、基底膜が厚い。,d,尿路系（腎杯、腎盂、尿管、膀胱）は移行上皮で覆われている。移行上皮は器官の拡張・収縮に応じて細胞の層数が変化して見えるのが特徴。被蓋細胞（アンブレラ細胞）が最表層に見られる。,「重層」とつくが重層扁平上皮ではない。また、多列上皮（気道）とも区別が必要。
HIST_002,唾液腺の組織像において、純漿液性の腺房のみから構成されるのはどれか。,耳下腺,顎下腺,舌下腺,口唇腺,口蓋腺,a,耳下腺は純漿液腺である。顎下腺は混合腺（漿液優位）、舌下腺は混合腺（粘液優位）である。,「顎下腺」も漿液腺を含むが、混合腺であるため「純」ではない。
HIST_003,胃底腺を構成する細胞のうち、ビタミンB12の吸収に必要な内因子と塩酸（胃酸）を分泌する細胞はどれか。,主細胞,壁細胞（傍細胞）,副細胞,G細胞,D細胞,b,壁細胞は好酸性（赤く染まる）の細胞質を持ち、胃酸と内因子を分泌する。,主細胞はペプシノゲン（タンパク質分解酵素の前駆体）を分泌する。好塩基性（青く染まる）のが特徴。
HIST_004,小腸の粘膜上皮に存在し、リゾチームやディフェンシンなどの抗菌物質を分泌する細胞はどれか。,吸収上皮細胞,杯細胞,パネート細胞（Paneth細胞）,M細胞,内分泌細胞,c,パネート細胞は小腸腺（リーベルキューン腺）の底部に位置し、赤い顆粒（酸好性顆粒）を持つ。抗菌ペプチドを分泌して腸内細菌叢の制御に関わる。,M細胞はパイエル板などのリンパ装置に関連する抗原取り込み細胞。
HIST_005,肝小葉の構造において、類洞（シヌソイド）と肝細胞の間の空間（類洞周囲腔）は何と呼ばれるか。,グリソン鞘,ハバース管,ディッセ腔（Disse腔）,ヘルリング管,胆細管,c,類洞内皮細胞と肝細胞索の間にはディッセ腔があり、ここで血液と肝細胞の間で物質交換が行われる。伊東細胞（星細胞）もここに存在する。,グリソン鞘は小葉の角にある結合組織（動脈・静脈・胆管が走る）。
HIST_006,膵臓の組織において、外分泌部（腺房）に見られず、内分泌部（ランゲルハンス島）に特徴的な細胞はどれか。,腺房中心細胞,α細胞,腺房細胞,導管上皮細胞,筋上皮細胞,b,ランゲルハンス島は内分泌組織であり、グルカゴンを分泌するα細胞、インスリンを分泌するβ細胞などが存在する。,腺房中心細胞は外分泌部（腺房）の中央に見られる特徴的な細胞で、重炭酸イオンを分泌する。
HIST_007,気管および気管支の粘膜上皮の分類として正しいのはどれか。,重層扁平上皮,単層円柱上皮,多列線毛円柱上皮,移行上皮,単層扁平上皮,c,気道（鼻腔〜気管支）の大部分は多列線毛円柱上皮で覆われ、異物除去のための線毛と粘液を分泌する杯細胞を持つ。,「多列」という言葉がキーワード。見かけは重層に見えるが全ての細胞が基底膜に接している。
HIST_008,肺胞において、サーファクタント（肺胞表面活性物質）を分泌する細胞はどれか。,I型肺胞上皮細胞,II型肺胞上皮細胞,肺胞マクロファージ（塵埃細胞）,線維芽細胞,クララ細胞,b,II型肺胞上皮細胞は立方体に近い形状で、サーファクタントを分泌して肺胞の表面張力を低下させ、虚脱を防ぐ。,I型肺胞上皮細胞は非常に薄く、ガス交換を担う。マクロファージは異物処理。
HIST_009,腎小体（糸球体）において、糸球体基底膜とともに濾過障壁を形成し、足突起を持つ細胞はどれか。,メサンギウム細胞,足細胞（タコ足細胞）,傍糸球体細胞,緻密斑細胞,内皮細胞,b,足細胞（ポドサイト）は糸球体毛細血管の外側を覆い、足突起間のスリット膜によってタンパク質の漏出を防ぐ。,メサンギウム細胞は毛細血管の支持や貪食を行う。傍糸球体細胞はレニン分泌。
HIST_010,精巣の曲精細管において、血液精巣関門（Blood-Testis Barrier）を形成し、精細胞を支持・栄養する細胞はどれか。,ライディッヒ細胞（間質細胞）,セルトリ細胞,精祖細胞,精子細胞,筋様細胞,b,セルトリ細胞は精細管内にあり、密着結合によって血液精巣関門を形成する。精子形成の足場となる。,ライディッヒ細胞は精細管の「間（間質）」にあり、テストステロンを分泌する。
HIST_011,卵巣において、排卵後の卵胞が変化して形成され、プロゲステロンを主に分泌する構造はどれか。,原始卵胞,白体,黄体,閉鎖卵胞,グラーフ卵胞（成熟卵胞）,c,排卵後の卵胞壁（顆粒膜細胞と内卵胞膜細胞）は黄体化し、黄体を形成する。妊娠成立には黄体からのプロゲステロンが必須である。,白体は黄体が退縮したもの。グラーフ卵胞は排卵直前の状態。
HIST_012,子宮内膜において、月経周期の増殖期に再生し、機能層を形成するのはどの層の細胞由来か。,基底層,緻密層,海綿層,筋層,漿膜,a,子宮内膜は機能層（脱落する）と基底層（残る）に分かれる。月経で機能層が剥離した後、基底層の細胞が増殖して内膜を再生する。,機能層（緻密層＋海綿層）が剥がれる部分であることを理解する。
HIST_013,甲状腺の組織像において、濾胞の間に存在し、カルシトニンを分泌する細胞はどれか。,濾胞上皮細胞,傍濾胞細胞（C細胞）,主細胞,好酸性細胞,クロム親和性細胞,b,傍濾胞細胞（C細胞）は濾胞腔に接せず、濾胞の間に単独または集団で存在する。血中カルシウム濃度を低下させるカルシトニンを分泌する。,副甲状腺の主細胞（パラトルモン分泌＝Ca上昇）と混同しないこと。
HIST_014,副腎皮質の最外層（被膜直下）にあり、球状の細胞配列を示し、アルドステロンを分泌する層はどれか。,球状帯,束状帯,網状帯,髄質,中間帯,a,副腎皮質は外側から球状帯（鉱質コルチコイド）、束状帯（糖コルチコイド）、網状帯（性ホルモン）の順に並ぶ。GFR（Glomerulosa, Fasciculata, Reticularis）と覚える。,束状帯が最も厚い層でコルチゾールを出す。球状帯は薄い最表層。
HIST_015,リンパ節の組織構造において、Bリンパ球が増殖・分化し、抗体産生の場となる「胚中心」が見られる部位はどれか。,リンパ洞,皮質（リンパ小節）,傍皮質,髄索,門部,b,皮質にあるリンパ小節（濾胞）の中心部は、抗原刺激を受けると明るく見える胚中心を形成する。ここはB細胞の増殖の場である。,傍皮質はT細胞領域である（胸腺依存性領域）。
HIST_016,脾臓の組織において、赤血球の破壊や血液の貯留に関与し、類洞と脾索からなる領域はどれか。,白脾髄,赤脾髄,中心動脈,胚中心,周縁帯,b,脾臓は白脾髄（リンパ球集合：免疫機能）と赤脾髄（血液充満：フィルター機能）に分かれる。古くなった赤血球は赤脾髄でマクロファージに処理される。,白脾髄はリンパ小節や動脈周囲リンパ鞘（PALS）からなる。色はヘモグロビンの有無で赤・白と呼ばれる。
HIST_017,胸腺の髄質に見られる、扁平化した上皮性細網細胞が渦巻き状に配列した特徴的な構造物はどれか。,ハッサル小体（胸腺小体）,マルピーギ小体,ニッスル小体,パチニ小体,ラメル小体,a,ハッサル小体は胸腺髄質に特有の構造物である。機能は完全には解明されていないが、T細胞の教育やサイトカイン産生に関与するとされる。,マルピーギ小体は腎小体または脾小節のこと。ニッスル小体は神経細胞の粗面小胞体。
HIST_018,骨格筋繊維の特徴的な構造である「横紋」を作り出している、筋原線維の基本単位はどれか。,筋周膜,筋節（サルコメア）,筋小胞体,T管,介在板,b,筋節（サルコメア）はZ線からZ線までの区間を指し、アクチンとミオシンの規則的な配列により横紋（A帯・I帯）を呈する。,介在板は心筋に特有の構造（細胞間結合）。
HIST_019,表皮の層構造において、最も深層に位置し、細胞分裂が盛んでメラノサイトが散在している層はどれか。,角質層,淡明層,顆粒層,有棘層,基底層,e,表皮は深部から基底層→有棘層→顆粒層→（淡明層）→角質層の順に分化する。基底層は真皮と接し、幹細胞やメラノサイトが存在する。,有棘層が最も厚いが、分裂の主体は基底層である。メラノサイトも基底層にある。
HIST_020,皮膚の触覚受容器のうち、表皮基底層に存在し、精密な触圧覚を感知する細胞はどれか。,メルケル細胞,マイスナー小体,パチニ小体,ルフィニ小体,自由神経終末,a,メルケル細胞は表皮基底層にあり、感覚神経終末と接してメルケル盤を形成する。指先などに多く、点字の識別などに関わる。,マイスナー小体は真皮乳頭、パチニ小体は真皮深層や皮下組織にある。表皮内にあるのはメルケル細胞と自由神経終末（痛覚）。
HIST_021,結合組織の線維成分のうち、張力に強く、H-E染色でピンク色（好酸性）に太く染まる線維はどれか。,弾性線維,細網線維,膠原線維（コラーゲン線維）,神経線維,筋線維,c,膠原線維（コラーゲン）は結合組織の主成分で、引っ張る力に強い。エオジンでよく染まる。,弾性線維はエラスチンを含み、特殊染色（レゾルシン・フクシン等）でないと見えにくい。細網線維は銀染色で黒く染まる。
HIST_022,軟骨組織の中で、椎間板や恥骨結合に存在し、膠原線維束が豊富で圧力や張力に強い種類はどれか。,硝子軟骨,弾性軟骨,線維軟骨,石灰化軟骨,関節軟骨,c,線維軟骨はI型コラーゲンを多く含み、極めて強靭である。椎間板や関節半月、恥骨結合に見られる。,硝子軟骨（関節軟骨、気管軟骨）が最も一般的。弾性軟骨（耳介、喉頭蓋）は弾性に富む。
DERM_001,長管骨の構造において、骨の長軸方向への成長（伸長）を担う部位はどれか。,骨膜,骨端軟骨（骨端板）,緻密骨,海綿骨,ハバース管,b,骨端軟骨（成長板）における軟骨細胞の増殖と骨化（軟骨内骨化）によって、骨は長くなる。,骨膜は骨の太さの成長（付加成長）と修復に関与する。
DERM_002,骨吸収（骨の破壊）を担当する多核の巨大細胞はどれか。,骨芽細胞,骨細胞,破骨細胞,軟骨細胞,線維芽細胞,c,破骨細胞は単球・マクロファージ系由来の多核細胞で、酸や酵素を放出して骨基質を溶かす。,骨芽細胞は骨形成を行う単核細胞。骨細胞は骨基質に埋没した細胞。
DERM_003,腕神経叢の枝の中で、上腕骨骨幹部骨折などで損傷されやすく、損傷すると「下垂手」を呈するのはどれか。,正中神経,尺骨神経,橈骨神経,筋皮神経,腋窩神経,c,橈骨神経は上腕骨の後面（橈骨神経溝）を接して走行するため、骨折時に巻き込まれやすい。手首の伸筋群が麻痺し、下垂手となる。,正中神経＝猿手（母指球萎縮）、尺骨神経＝鷲手（骨間筋萎縮）。
DERM_004,股関節の運動に関与する筋のうち、主に大腿の「伸展」を行う強力な筋はどれか。,大腰筋,腸骨筋,大殿筋,中殿筋,縫工筋,c,大殿筋は人体で最大の単一筋であり、股関節の強力な伸展（階段を上る、立ち上がる動作）を行う。,大腰筋と腸骨筋（腸腰筋）は股関節の「屈曲」の主動作筋である。中殿筋は「外転」。
DERM_005,次の関節のうち、解剖学的に「球関節（多軸性関節）」に分類されるのはどれか。,肘関節,膝関節,肩関節,手首の関節（橈骨手根関節）,指の関節（指節間関節）,c,肩関節（肩甲上腕関節）と股関節は球関節であり、屈曲・伸展、外転・内転、回旋の多方向への運動が可能である。,肘や指（IP）は蝶番関節（一軸性）。膝はらせん関節（蝶番関節の変形）。橈骨手根関節は楕円関節。
