問題ID,問題文,選択肢A,選択肢B,選択肢C,選択肢D,選択肢E,正解,解説,間違えやすいポイント
A_ANAT_080,"門脈に血液を送らない血管はどれか。","上腸間膜静脈","下腸間膜静脈","脾静脈","肝静脈","胃静脈",D,"肝静脈は肝臓から下大静脈へ血液を戻す血管であり門脈系には属さない。","名前に肝がつくため門脈系と誤解しやすい。流れの向きを確認する。"
A_ANAT_081,"腎臓の機能単位はどれか。","腎小体","糸球体","ネフロン","ボウマン嚢","尿細管",C,"ネフロンは糸球体と尿細管からなる腎臓の基本的な機能単位である。","構成要素と単位を混同しやすい。ネフロンが単位である。"
A_ANAT_082,"肺でガス交換が行われる部位はどれか。","気管","気管支","細気管支","肺胞","胸膜腔",D,"肺胞は薄い壁と毛細血管網をもち酸素と二酸化炭素の交換が行われる。","気管支で交換されると誤解しやすい。構造と機能を対応させる。"
A_ANAT_083,"栄養素の吸収が最も多く行われる消化管部位はどれか。","胃","十二指腸","空腸","回腸","大腸",C,"空腸は絨毛が発達し多くの栄養素が吸収される主要部位である。","十二指腸と混同しやすい。吸収量の多さに注目する。"
A_ANAT_084,"膵臓から分泌される消化酵素でないのはどれか。","アミラーゼ","リパーゼ","トリプシン","ペプシン","キモトリプシン",D,"ペプシンは胃で分泌される消化酵素であり膵臓由来ではない。","消化酵素はすべて膵臓由来と誤解しやすい。分泌部位を区別する。"
A_ANAT_085,"体温調節中枢が存在する脳部位はどれか。","大脳皮質","視床下部","小脳","中脳","延髄",B,"視床下部は自律神経や内分泌を統合し体温調節中枢として働く。","延髄と混同しやすい。恒常性維持の中枢である点を覚える。"
A_ANAT_086,"脳脊髄液が産生される場所はどれか。","くも膜","硬膜","脈絡叢","脊髄中心管","軟膜",C,"脳室内の脈絡叢で脳脊髄液が産生される。","膜構造と混同しやすい。産生部位を正確に覚える必要がある。"
A_ANAT_087,"副交感神経の作用として正しいのはどれか。","心拍数増加","気管支拡張","瞳孔散大","消化管運動促進","血糖上昇",D,"副交感神経は休息と消化を促進し消化管運動を亢進させる。","交感神経作用と逆になる点を混同しやすい。対比で理解する。"
A_ANAT_088,"聴覚に関与する脳神経はどれか。","第3脳神経","第5脳神経","第7脳神経","第8脳神経","第10脳神経",D,"第8脳神経は前庭神経と蝸牛神経からなり聴覚と平衡感覚を伝える。","顔面神経と混同しやすい。番号と機能を対応させる。"
A_ANAT_089,"視覚情報を処理する大脳皮質領域はどれか。","前頭葉","側頭葉","頭頂葉","後頭葉","島",D,"後頭葉に一次視覚野が存在し視覚情報が処理される。","側頭葉と混同しやすい。感覚野の局在を整理する。"
A_ANAT_090,"運動の協調を司る中枢はどれか。","大脳基底核","小脳","視床","海馬","扁桃体",B,"小脳は運動のタイミングや強さを調整し協調運動を制御する。","大脳基底核と混同しやすい。協調運動は小脳である。"
B_PHYS_001,"等加速度運動で初速度0の物体が時間$t$後に進む距離$x$として正しい式はどれか。","$x=vt$","$x=\frac{1}{2}at^2$","$x=at$","$x=2at^2$","$x=\frac{1}{2}vt$",B,"等加速度運動で初速度が0の場合，位置は$x=\frac{1}{2}at^2$で表される。速度$v=at$を用いても同じ式が導かれる。","速度の式$v=at$と混同し$x=at$と誤答しやすい。距離と速度の式を区別する必要がある。"
B_PHYS_002,"運動量保存則が成り立つ条件として正しいのはどれか。","外力が作用しない","摩擦がある","重力が作用する","空気抵抗がある","速度が一定",A,"運動量保存則は外力が働かない閉じた系で成り立つ。外力がある場合は系全体の運動量は保存されない。","摩擦や重力があっても保存されると誤解しやすい。外力の有無を判断する必要がある。"
B_PHYS_003,"仕事率（パワー）の定義として正しいのはどれか。","仕事×時間","仕事÷時間","力×距離","質量×加速度","エネルギー÷距離",B,"仕事率は単位時間あたりになされる仕事であり$P=W/t$で定義される。","仕事と混同しやすい。時間で割る量である点を確認する。"
B_PHYS_004,"理想気体が断熱膨張するとき正しいのはどれか。","内部エネルギーは一定","外部に熱を放出する","外部から熱を受け取る","温度が低下する","圧力は一定",D,"断熱過程では熱の出入りがないため仕事をする分だけ内部エネルギーが減少し温度が低下する。","等温変化と混同しやすい。熱の出入りがない点に注意する。"
B_PHYS_005,"電場$E$中に置かれた電荷$q$に働く力$F$として正しいのはどれか。","$F=qE$","$F=E/q$","$F=q/E$","$F=qE^2$","$F=E^2/q$",A,"電場の定義より電荷$q$に働く力は$F=qE$で与えられる。","クーロン力と混同して$r$依存を入れやすい。定義式を用いる。"
B_PHYS_006,"オームの法則として正しいのはどれか。","$V=IR$","$I=VR$","$R=VI$","$V=I/R$","$I=R/V$",A,"電圧$V$は電流$I$と抵抗$R$の積で表され$V=IR$となる。","逆数にして$I=VR$と誤答しやすい。比例関係を確認する。"
B_PHYS_007,"自己誘導によって生じる起電力の向きは何に逆らうか。","磁場","電流の変化","電圧","抵抗","エネルギー",B,"レンツの法則より自己誘導起電力は回路中の電流の変化を妨げる向きに生じる。","磁場そのものに逆らうと誤解しやすい。変化に逆らう点が重要である。"
B_PHYS_008,"凸レンズで実像ができる条件として正しいのはどれか。","物体が焦点より内側","物体が焦点上","物体が焦点より外側","物体がレンズ中心","どこでもできる",C,"凸レンズでは物体が焦点距離より外側にあるときスクリーンに結像する実像が得られる。","焦点内側で虚像ができる場合と混同しやすい。像の性質を区別する。"
B_PHYS_009,"回折格子による干渉条件として正しいのはどれか。","$d\sin\theta=m\lambda$","$d\cos\theta=m\lambda$","$d\tan\theta=m\lambda$","$d=m\lambda\sin\theta$","$\lambda=m d$",A,"回折格子の主極大条件は$d\sin\theta=m\lambda$で与えられる。","スリット回折条件と混同しやすい。干渉条件式を覚える必要がある。"
B_PHYS_010,"原子の基底状態について正しいのはどれか。","最も高いエネルギー状態","電子が放出される状態","最も低いエネルギー状態","励起状態","不安定状態",C,"基底状態とは原子が取り得る最も低いエネルギー状態である。","励起状態と混同しやすい。エネルギー準位の最低である点を確認する。"
B_CHEM_011,"同位体の定義として正しいのはどれか。","陽子数が異なる原子","中性子数が異なる同一元素","電子数が異なる原子","質量数が同じ原子","化学的性質が異なる原子",B,"同位体とは陽子数が同じで中性子数が異なる原子であり同一元素に属する。","電子数の違いと混同しやすい。原子番号が同じである点が重要である。"
B_CHEM_012,"イオン結合の特徴として正しいのはどれか。","電子を共有する","分子を形成する","静電的引力で結合","方向性が強い","水に溶けない",C,"イオン結合は陽イオンと陰イオンの静電的引力によって形成される結合である。","共有結合と混同し電子を共有すると誤答しやすい。結合の本質を理解する。"
B_CHEM_013,"酸化還元反応において酸化とはどれか。","電子を受け取る","電子を失う","水素を受け取る","酸素を失う","電荷が変わらない",B,"酸化とは電子を失う反応であり還元は電子を受け取る反応である。","酸素の有無だけで判断しやすい。電子の授受で定義する。"
B_CHEM_014,"pHが1単位変化すると水素イオン濃度は何倍変化するか。","2倍","5倍","10倍","20倍","100倍",C,"pHは常用対数で定義されるため1単位変化すると水素イオン濃度は10倍変化する。","直線的な変化と誤解しやすい。対数尺度である点に注意する。"
B_CHEM_015,"緩衝液の作用として正しいのはどれか。","pHを大きく変化させる","pH変化を抑える","完全に中性にする","塩を沈殿させる","電気伝導度を下げる",B,"緩衝液は少量の酸や塩基が加えられてもpHの変化を小さく抑える作用をもつ。","中性にする作用と誤解しやすい。変化を緩和する点が重要である。"
B_CHEM_016,"アルコールの一般式として正しいのはどれか。","$C_nH_{2n+2}$","$C_nH_{2n+1}OH$","$C_nH_{2n}$","$C_nH_{2n}O$","$C_nH_{2n+2}O$",B,"一価アルコールは炭化水素基$C_nH_{2n+1}$にヒドロキシ基$OH$が結合した構造をもつ。","アルカンの一般式と混同しやすい。官能基$OH$を含む点に注意する。"
B_CHEM_017,"カルボン酸の性質として正しいのはどれか。","塩基性を示す","水に不溶","エステルを形成する","金属ナトリウムと反応しない","アンモニアと反応しない",C,"カルボン酸はアルコールと反応してエステルを生成するエステル化反応を起こす。","フェノールと混同しやすい。官能基が$COOH$である点を確認する。"
B_CHEM_018,"タンパク質を構成する基本単位はどれか。","脂肪酸","アミノ酸","グルコース","ヌクレオチド","リン酸",B,"タンパク質は20種類のアミノ酸がペプチド結合で連なった高分子である。","核酸の構成単位であるヌクレオチドと混同しやすい。"
B_STAT_019,"度数分布表から求められる代表値として正しいのはどれか。","中央値のみ","最頻値のみ","平均値のみ","平均値・中央値・最頻値","分散のみ",D,"度数分布表からは各階級の度数を用いて平均値，中央値，最頻値を近似的に求めることができる。","平均値しか求められないと誤解しやすい。代表値の種類を整理する。"
B_STAT_020,"箱ひげ図で表されないのはどれか。","中央値","四分位範囲","最大値","最小値","平均値",E,"箱ひげ図は中央値と四分位数，外れ値などを示すが平均値は通常表示されない。","代表値として平均も含まれると誤解しやすい。図の構成要素を確認する。"
B_STAT_021,"標本誤差とは何を指すか。","測定器の誤差","母集団と標本平均との差","標本抽出によるばらつき","系統的なずれ","計算ミス",C,"標本誤差とは標本を抽出することによって生じる偶然的なばらつきを指す。","測定誤差や系統誤差と混同しやすい。抽出に由来する誤差である。"
B_STAT_022,"相関係数が0に近いとき何を意味するか。","無関係である","強い負の相関","強い正の相関","線形関係が弱い","必ず独立である",D,"相関係数が0に近い場合，線形的な関連が弱いことを示すが非線形関係がないとは限らない。","独立と同義と誤解しやすい。線形関係のみを評価する点に注意する。"
B_STAT_023,"片側検定が用いられるのはどのような場合か。","差があるかどうかのみを調べる","増加のみを検討する","減少のみを検討する","方向が決まっている仮説を検証する","すべての場合",D,"片側検定は効果の方向が事前に定まっている場合に用いられる。増加または減少のみを検討する。","常に両側検定を使うと誤解しやすい。仮説の立て方で選択する。"
B_STAT_024,"検定力が高い検定とはどれか。","第一種の過誤が大きい","第二種の過誤が大きい","帰無仮説を正しく棄却しやすい","有意水準が高い","標本サイズが小さい",C,"検定力とは帰無仮説が誤っているときにそれを正しく棄却できる確率である。高いほど有用な検定である。","有意水準と混同しやすい。第二種の過誤との関係を理解する必要がある。"
B_STAT_025,"回帰直線$y=ax+b$において$a$が表すものはどれか。","切片","平均値","傾き","分散","残差",C,"$a$は説明変数$x$が1単位変化したときの目的変数$y$の変化量を表す傾きである。","切片$b$と混同しやすい。役割の違いを区別する。"
B_BIO_026,"真核細胞の核内で起こる過程はどれか。","翻訳","解糖","転写","電子伝達","ATP合成",C,"真核細胞ではDNAからRNAが合成される転写は核内で行われる。翻訳は細胞質で行われる。","原核細胞と混同しやすい。場所の違いを整理する必要がある。"
B_BIO_027,"細胞骨格を構成しないものはどれか。","アクチン","チューブリン","中間径フィラメント","ミオシン","ケラチン",D,"細胞骨格はアクチンフィラメント，微小管，中間径フィラメントから構成される。ミオシンはモータータンパク質である。","筋収縮関連タンパク質と混同しやすい。構造成分かどうかを確認する。"
B_BIO_028,"オルガネラのうち二重膜構造をもつのはどれか。","リボソーム","ゴルジ体","ミトコンドリア","小胞体","リソソーム",C,"ミトコンドリアは外膜と内膜の二重膜構造をもつ。核も二重膜であるが選択肢には含まれない。","小胞体やゴルジ体と混同しやすい。膜構造の数に注意する。"
B_BIO_029,"ホルモンの受容体が細胞内に存在するものはどれか。","インスリン","アドレナリン","成長ホルモン","エストロゲン","グルカゴン",D,"エストロゲンは脂溶性ホルモンで細胞膜を通過し細胞内受容体に結合して作用する。","水溶性ホルモンと混同しやすい。膜通過性で区別する。"
B_BIO_030,"抗体の特異性を決定する部位はどれか。","Fc領域","Fab領域","重鎖定常部","軽鎖定常部","ヒンジ部",B,"抗原結合部位を含むFab領域が抗体の特異性を決定する。","補体結合部位と混同しやすい。抗原結合部位である点を確認する。"
B_BIO_031,"ミトコンドリアDNAの特徴として正しいのはどれか。","環状DNAである","父系遺伝する","ヒストンと結合する","イントロンを多く含む","染色体と同一構造",A,"ミトコンドリアDNAは原核生物様の環状DNAであり主に母系遺伝する。核DNAとは構造や遺伝様式が異なる。","核DNAと同様に直線状と誤解しやすい。母系遺伝である点も重要である。"
B_BIO_032,"原核生物と真核生物の共通点として正しいのはどれか。","核膜をもつ","ミトコンドリアをもつ","DNAをもつ","ゴルジ体をもつ","リソソームをもつ",C,"原核生物と真核生物はいずれも遺伝情報としてDNAをもつが，核膜やオルガネラの有無に違いがある。","核やオルガネラの有無と混同しやすい。共通点はDNAである。"
B_BIO_033,"細胞分裂において染色体が赤道面に整列するのはどの時期か。","前期","中期","後期","終期","間期",B,"有糸分裂の中期には染色体が紡錘体に引かれて細胞の赤道面に整列する。","前期と混同しやすい。整列するのは中期である。"
B_BIO_034,"神経細胞における興奮の伝導で電位が低下する現象はどれか。","脱分極","再分極","過分極","活動電位","静止電位",C,"過分極とは膜電位が静止電位よりさらに低くなる現象であり，興奮後にみられる。","再分極と混同しやすい。静止電位より低くなる点が過分極である。"
B_BIO_035,"シナプスで神経伝達物質が放出される仕組みとして正しいのはどれか。","Na+流入","K+流出","Ca2+流入","Cl-流入","ATP枯渇",C,"活動電位により電位依存性Ca2+チャネルが開きCa2+が流入することでシナプス小胞が融合し神経伝達物質が放出される。","Na+の流入と混同しやすい。放出の引き金はCa2+である。"
B_BIO_036,"筋収縮に直接関与するタンパク質はどれか。","アクチンとミオシン","チューブリンとダイニン","ケラチンとコラーゲン","ミオシンとチューブリン","アクチンとコラーゲン",A,"筋収縮はアクチンフィラメントとミオシンフィラメントの相互作用によって生じる。","細胞骨格成分と混同しやすい。筋原線維の構成タンパク質を確認する。"
B_BIO_037,"心筋細胞の特徴として正しいのはどれか。","単核である","横紋構造をもたない","自律的に収縮する","随意運動である","細胞間結合がない",C,"心筋は横紋をもち自律的に拍動する筋であり自律神経により調節される。","骨格筋と混同し随意運動と考えやすい。自動能が特徴である。"
B_BIO_038,"ホルモン分泌の調節において負のフィードバックの例として正しいのはどれか。","甲状腺ホルモンがTSH分泌を抑制する","TSHが甲状腺ホルモン分泌を促進する","インスリンが血糖値を下げる","グルカゴンが血糖値を上げる","アドレナリンが心拍数を上げる",A,"甲状腺ホルモンが増えると下垂体からのTSH分泌が抑制される関係は負のフィードバックの典型例である。","刺激作用と混同しやすい。ホルモンが上流の分泌を抑制する点に注目する。"
B_BIO_039,"ビタミンのうち脂溶性でないものはどれか。","ビタミンA","ビタミンD","ビタミンE","ビタミンK","ビタミンC",E,"ビタミンCは水溶性ビタミンであり体内に蓄積されにくい。A,D,E,Kは脂溶性である。","脂溶性ビタミンの語呂合わせと混同しやすい。Cは水溶性である。"
B_BIO_040,"腎臓で水の再吸収が最も多く行われる部位はどれか。","糸球体","近位尿細管","ヘンレ係蹄","遠位尿細管","集合管",B,"近位尿細管では原尿中の水分の大部分が再吸収される。","集合管と混同しやすい。量として最も多いのは近位尿細管である。"
B_ANAT_041,"大腿骨頭に栄養血管を送る動脈として重要なのはどれか。","外側大腿回旋動脈","内側大腿回旋動脈","大腿動脈","閉鎖動脈","膝窩動脈",B,"大腿骨頭への主要血流は内側大腿回旋動脈から供給される。骨折時に損傷されると壊死の原因となる。","外側回旋動脈と混同しやすい。臨床的重要性の高い血管である。"
B_ANAT_042,"肩関節の回旋筋腱板を構成しない筋はどれか。","棘上筋","棘下筋","小円筋","肩甲下筋","三角筋",E,"回旋筋腱板は棘上筋，棘下筋，小円筋，肩甲下筋から構成される。三角筋は含まれない。","肩周囲筋をすべて含むと誤解しやすい。4筋を覚える必要がある。"
B_ANAT_043,"肘関節の屈曲に主に作用する筋はどれか。","上腕三頭筋","上腕二頭筋","三角筋","大円筋","広背筋",B,"上腕二頭筋は肘関節の屈曲および前腕の回外に作用する主要筋である。","上腕三頭筋と混同しやすい。作用が逆である点に注意する。"
B_ANAT_044,"手根骨の数として正しいのはどれか。","6個","7個","8個","9個","10個",C,"手根骨は舟状骨，月状骨など計8個から構成される。","足根骨の数と混同しやすい。部位ごとに数を覚える必要がある。"
B_ANAT_045,"脊髄神経の数として正しいのはどれか。","28対","29対","30対","31対","32対",D,"脊髄神経は頸神経8対，胸神経12対，腰神経5対，仙骨神経5対，尾骨神経1対の計31対である。","椎骨数と混同しやすい。対で数える点に注意する。"
B_ANAT_046,"右心室から血液が流出する血管はどれか。","大動脈","肺動脈","上大静脈","下大静脈","冠動脈",B,"右心室からは肺動脈が出て肺へ血液を送る。大動脈は左心室から出る。","左右の心室と血管の対応を混同しやすい。流れの順序を整理する。"
B_ANAT_047,"胃の主細胞が分泌する物質はどれか。","塩酸","ペプシノーゲン","ムチン","ガストリン","重炭酸イオン",B,"主細胞はペプシンの前駆体であるペプシノーゲンを分泌する。塩酸は壁細胞から分泌される。","壁細胞と混同しやすい。分泌物の対応を覚える必要がある。"
B_ANAT_048,"胆汁が貯蔵される臓器はどれか。","肝臓","胆嚢","膵臓","脾臓","腎臓",B,"胆汁は肝臓で産生され胆嚢に貯蔵される。","産生部位と貯蔵部位を混同しやすい。役割の違いを確認する。"
B_ANAT_049,"小腸の構造として正しいのはどれか。","輪状ひだをもたない","絨毛をもたない","消化液を分泌しない","吸収面積が大きい","蠕動運動をしない",D,"小腸は輪状ひだや絨毛により表面積が大きくなり効率的に栄養素を吸収する。","胃や大腸と混同しやすい。吸収機能に特化している点に注目する。"
B_ANAT_050,"甲状腺ホルモンの分泌を直接調節するホルモンはどれか。","ACTH","TSH","FSH","LH","プロラクチン",B,"下垂体前葉から分泌されるTSHが甲状腺を刺激して甲状腺ホルモン分泌を調節する。","ACTHと混同しやすい。標的内分泌腺の対応関係を整理する。"
B_ANAT_051,"膝関節で前方への脛骨の移動を防ぐ靱帯はどれか。","前十字靱帯","後十字靱帯","内側側副靱帯","外側側副靱帯","膝蓋靱帯",A,"前十字靱帯は脛骨の前方移動を防ぎ膝関節の安定性を保つ。","後十字靱帯と混同しやすい。方向に注意する必要がある。"
B_ANAT_052,"大脳皮質の運動野が存在する部位はどれか。","前頭葉","頭頂葉","側頭葉","後頭葉","島",A,"一次運動野は前頭葉の中心前回に存在し随意運動を制御する。","感覚野と混同しやすい。前頭葉が運動野である。"
B_ANAT_053,"呼吸中枢が存在する部位はどれか。","大脳皮質","視床","小脳","延髄","海馬",D,"呼吸のリズムを調節する中枢は延髄に存在する。","橋と混同しやすい。生命維持中枢がある部位を確認する。"
B_ANAT_054,"交感神経節後線維から放出される主な神経伝達物質はどれか。","アセチルコリン","ノルアドレナリン","ドーパミン","セロトニン","GABA",B,"交感神経節後線維の多くはノルアドレナリンを放出して標的器官に作用する。","節前線維のアセチルコリンと混同しやすい。線維の種類を区別する。"
B_ANAT_055,"視覚情報が最初に中継される視床の核はどれか。","外側膝状体","内側膝状体","腹側核","後核","前核",A,"外側膝状体は視覚情報を中継して大脳皮質視覚野へ送る。","聴覚中継核である内側膝状体と混同しやすい。"
B_ANAT_056,"副腎髄質から分泌されるホルモンはどれか。","アルドステロン","コルチゾール","アドレナリン","プロゲステロン","エストロゲン",C,"副腎髄質はカテコールアミンであるアドレナリンやノルアドレナリンを分泌する。","副腎皮質ホルモンと混同しやすい。部位による違いを確認する。"
B_ANAT_057,"肝臓で合成されない物質はどれか。","アルブミン","フィブリノゲン","尿素","インスリン","コレステロール",D,"インスリンは膵臓のランゲルハンス島β細胞で産生されるホルモンであり肝臓では合成されない。","多くの血漿タンパクが肝臓由来であるため混同しやすい。"
B_ANAT_058,"血液中で酸素を運搬する分子はどれか。","ミオグロビン","ヘモグロビン","アルブミン","フィブリノゲン","グロブリン",B,"ヘモグロビンは赤血球内に存在し酸素と結合して全身へ運搬する。","筋肉内のミオグロビンと混同しやすい。役割の違いを整理する。"
B_ANAT_059,"体液のpHを一定に保つ主要な緩衝系はどれか。","リン酸緩衝系","重炭酸緩衝系","タンパク質緩衝系","アンモニア緩衝系","乳酸緩衝系",B,"血液のpHは主に重炭酸イオンと二酸化炭素からなる重炭酸緩衝系によって調節される。","リン酸緩衝系と混同しやすい。血液で主に働くのは重炭酸系である。"
B_ANAT_060,"尿量の調節に関与するホルモンはどれか。","オキシトシン","バソプレシン","プロラクチン","メラトニン","ガストリン",B,"バソプレシンは抗利尿ホルモンとして腎集合管での水再吸収を促進し尿量を減少させる。","アルドステロンと混同しやすい。水の再吸収を調節する点に注意する。"
B_PHYS_061,"交流電圧の実効値$V_{\mathrm{rms}}$と最大値$V_0$の関係として正しいのはどれか。","$V_{\mathrm{rms}}=V_0$","$V_{\mathrm{rms}}=V_0/\sqrt{2}$","$V_{\mathrm{rms}}=2V_0$","$V_{\mathrm{rms}}=\sqrt{2}V_0$","$V_{\mathrm{rms}}=V_0/2$",B,"正弦波交流では実効値は最大値を$\sqrt{2}$で割った値となり$V_{\mathrm{rms}}=V_0/\sqrt{2}$で表される。これは同じ発熱効果を与える直流電圧に相当する値である。","平均値と混同しやすい。実効値はエネルギー的等価性から定義される点に注意する。"
B_PHYS_062,"コンプトン散乱で波長が変化する主な理由はどれか。","電子との弾性衝突","原子核との衝突","熱運動","回折現象","屈折現象",A,"コンプトン散乱ではX線や$\gamma$線が電子と衝突しエネルギーと運動量をやり取りすることで波長が変化する。これは光の粒子性を示す現象である。","回折や屈折と混同しやすい。粒子としての光と電子の衝突である点が重要である。"
B_PHYS_063,"半導体の$p$型として正しいのはどれか。","電子が多数キャリア","正孔が多数キャリア","不純物を含まない","金属と同じ導電性","温度に依存しない",B,"$p$型半導体では三価元素を添加することで正孔が多数キャリアとなり電流を運ぶ。$n$型では電子が多数キャリアである。","$n$型と混同しやすい。多数キャリアが正孔である点を確認する。"
B_PHYS_064,"原子核反応において質量欠損が意味するのはどれか。","質量保存の破れ","エネルギーへの変換","測定誤差","電子の寄与","化学結合エネルギー",B,"原子核反応では一部の質量が$E=mc^2$に従ってエネルギーに変換される。この差が質量欠損として観測される。","質量が消失したと誤解しやすい。エネルギーに変換された結果である。"
B_CHEM_065,"弱塩基の解離定数$K_b$と$pK_b$の関係として正しいのはどれか。","$pK_b=K_b$","$pK_b=\log K_b$","$pK_b=-\log K_b$","$pK_b=\ln K_b$","$pK_b=1/K_b$",C,"$pK_b$は塩基解離定数$K_b$の常用対数の負で定義される。酸の場合の$pK_a$と同様の関係である。","自然対数と混同しやすい。常用対数と負号に注意する必要がある。"
B_CHEM_066,"水溶液中で電解質が電離する度合いを表す量はどれか。","モル濃度","電離度","浸透圧","活量","イオン強度",B,"電離度は溶質がどの程度イオンに分かれているかを表す割合であり電解質の性質を示す重要な指標である。","モル濃度と混同しやすい。電離の割合である点を理解する必要がある。"
B_CHEM_067,"炭化水素の異性体が存在する理由として正しいのはどれか。","分子量が異なるため","元素組成が異なるため","結合の仕方が異なるため","官能基が異なるため","電子数が異なるため",C,"異性体は分子式が同じであっても原子の結合の仕方や配置が異なるため異なる性質を示す。","分子量や元素組成が異なると誤解しやすい。同一分子式である点が重要である。"
B_CHEM_068,"脂肪酸の$\beta$酸化が行われる細胞内小器官はどれか。","リソソーム","小胞体","ミトコンドリア","ゴルジ体","核",C,"脂肪酸の$\beta$酸化は主にミトコンドリアマトリックスで行われエネルギー産生に寄与する。","解糖系と混同しやすい。糖と脂肪酸で代謝部位が異なる点に注意する。"
B_CHEM_069,"酵素反応速度に影響を与えない因子はどれか。","基質濃度","温度","pH","阻害剤","反応生成物の色",E,"酵素反応速度は基質濃度，温度，pH，阻害剤などに影響されるが生成物の色自体は速度決定因子ではない。","視覚的変化と反応速度を混同しやすい。化学的条件が重要である。"
B_STAT_070,"母分散が未知の場合に母平均の検定で用いる分布はどれか。","正規分布","$t$分布","$\chi^2$分布","$F$分布","二項分布",B,"母分散が未知の場合には標本分散を用いるため検定統計量は$t$分布に従う。","正規分布と混同しやすい。分散未知か既知かで使う分布が変わる。"
B_STAT_071,"有意水準5%とは何を意味するか。","誤差が5%以内","第一種の過誤が5%","第二種の過誤が5%","検定力が95%","信頼区間が95%",B,"有意水準は帰無仮説が正しいにもかかわらずそれを棄却してしまう第一種の過誤の確率を表す。","信頼区間95%と同義と誤解しやすい。意味の違いを整理する必要がある。"
B_STAT_072,"帰無仮説$H_0$として最も適切なのはどれか。","差がある","効果がある","相関がある","差がない","増加している",D,"帰無仮説は通常『差がない』『効果がない』など変化が存在しないことを仮定する。","研究仮説と混同しやすい。まず否定したい仮説を立てる点が重要である。"
B_STAT_073,"95%信頼区間に真の母平均が含まれない確率はどれか。","1%","2.5%","5%","95%","100%",C,"95%信頼区間とは長期的に見て95%の区間が真の値を含むことを意味し含まれない確率は5%である。","2.5%と誤答しやすい。両側区間全体で5%である。"
B_STAT_074,"Spearmanの順位相関係数を用いるのはどのような場合か。","正規分布に従うデータ","名義尺度データ","順位尺度データ","比尺度データ","質的データ",C,"Spearmanの順位相関係数はデータを順位に変換して相関を評価するため順位尺度や非正規分布データに適している。","Pearson相関と混同しやすい。順位を用いる点が特徴である。"
B_STAT_075,"多変量解析の目的として正しいのはどれか。","1変数のみ解析する","複数変数の関係を同時に解析する","平均値のみ求める","度数を集計する","外れ値を除去する",B,"多変量解析は複数の変数間の関係を同時に扱い構造を明らかにする統計手法である。","単変量解析と混同しやすい。複数変数を扱う点に注意する。"
B_STAT_076,"ロジスティック回帰分析の目的変数として適切なのはどれか。","連続量","二値データ","順位データ","比率データ","正規分布データ",B,"ロジスティック回帰は事象の起こる確率をモデル化するため目的変数は0または1の二値データである。","線形回帰と混同しやすい。目的変数の型で手法を選択する。"
B_BIO_077,"ヒトの赤血球に含まれない細胞小器官はどれか。","ミトコンドリア","細胞膜","ヘモグロビン","細胞質","酵素",A,"成熟赤血球は核やミトコンドリアをもたずヘモグロビンに特化した構造をもつ。","核と混同しやすい。エネルギー産生を行わない点が特徴である。"
B_BIO_078,"副交感神経の伝達物質として正しいのはどれか。","ノルアドレナリン","アドレナリン","アセチルコリン","ドーパミン","セロトニン",C,"副交感神経では節前線維・節後線維ともに主にアセチルコリンが伝達物質として用いられる。","交感神経のノルアドレナリンと混同しやすい。系統ごとの違いを整理する。"
B_BIO_079,"骨格筋でカルシウムイオンが結合するタンパク質はどれか。","トロポニン","トロポミオシン","アクチン","ミオシン","チューブリン",A,"骨格筋ではカルシウムイオンがトロポニンに結合しトロポミオシンの位置が変化してアクチンとミオシンの結合が可能となる。","ミオシンに直接結合すると誤解しやすい。調節タンパク質である点に注意する。"
B_BIO_080,"内分泌腺でないものはどれか。","甲状腺","副腎","膵臓","唾液腺","下垂体",D,"唾液腺は外分泌腺であり消化液を導管を通じて分泌する。内分泌腺とは分泌様式が異なる。","膵臓が内外分泌をもつ点と混同しやすい。導管の有無で区別する。"
B_ANAT_081,"咽頭から食道へ食塊が移動するときに閉じる構造はどれか。","声帯","喉頭蓋","咽頭扁桃","甲状軟骨","披裂軟骨",B,"嚥下時には喉頭蓋が閉じて気道への侵入を防ぎ食塊は食道へ送られる。","声帯と混同しやすい。誤嚥防止構造である点が重要である。"
B_ANAT_082,"脳室系を循環する脳脊髄液の最終的な吸収部位はどれか。","脈絡叢","くも膜顆粒","硬膜静脈洞","第四脳室","脊髄中心管",B,"脳脊髄液はくも膜顆粒を通じて静脈系に吸収される。産生部位は脈絡叢である。","産生部位と吸収部位を混同しやすい。循環経路を整理する必要がある。"
B_ANAT_083,"膀胱に尿を運ぶ管はどれか。","尿道","尿管","輸精管","胆管","リンパ管",B,"腎臓で作られた尿は尿管を通って膀胱へ送られる。尿道は体外へ排出する管である。","尿道と混同しやすい。流れの順序を確認する必要がある。"
B_ANAT_084,"子宮内膜の周期的変化を直接調節するホルモンはどれか。","FSH","LH","エストロゲン","プロラクチン","オキシトシン",C,"エストロゲンは子宮内膜の増殖を促進し月経周期に伴う変化を調節する主要なホルモンである。","FSHやLHと混同しやすい。標的臓器への直接作用で判断する。"
